"","data...1.","fdr.out.pval","fdr"
"2218","VNG6181H",0.846982507122978,0.984515881578892
"2219","VNG6182H",0.0584175933727981,0.34533555790283
"2220","VNG6183C",0.303283132792584,0.701763259586025
"2221","VNG6184G",0.417827664688122,0.799670171651909
"2222","VNG6185H",0.745504803593381,0.95666494016178
"2223","VNG6186H",0.0616852508811125,0.349521262971174
"2224","VNG6187G",0.590340737633002,0.898713105241788
"2225","VNG6188H",0.128628503071786,0.486154972239819
"2226","VNG6189H",0.308285186635668,0.709110041691984
"2227","VNG6191H",0.186130099376912,0.578634565012993
"2228","VNG6193H",0.716751376500161,0.950388565525076
"2229","VNG6194H",0.703367518372791,0.943846350766277
"2230","VNG6195H",0.554679275989407,0.888671737232695
"2231","VNG6196G",0.335845766873781,0.736194501223749
"2232","VNG6197H",0.431098889616603,0.807864630935358
"2233","VNG6198H",0.139888764470396,0.504103655749174
"2234","VNG6199G",0.251101200785572,0.658200574168424
"2235","VNG6201G",0.00988877389050101,0.142114115791631
"2236","VNG6203H",0.488099565886718,0.850034596557897
"2237","VNG6204H",0.0591123341255801,0.346250689466555
"2238","VNG6205C",0.803673454746408,0.973099348040099
"2239","VNG6206H",0.152214036329673,0.524259631142101
"2240","VNG6208C",0.0189231810685515,0.205919209796588
"2241","VNG6209H",0.923744739534161,0.99798670266363
"2242","VNG6210G",0.414204464434027,0.797825613677098
"2243","VNG6211G",0.661695425861017,0.925448148057367
"2244","VNG6212G",0.206828029857541,0.605350331290362
"2245","VNG6213G",0.532835955874746,0.878617336662718
"2246","VNG6214G",0.365683885473788,0.761180680951509
"2247","VNG6216G",0.0866556762910685,0.40149348088526
